Disease,Common disease group,Symptoms,Disease Group,Dosha Types
Alpha-1 Antitrypsin Deficiency,Liver disease,"jaundice, hepatomegaly, pruritus, fatigue, cirrhosis signs, ascites, edema, easy bruising, respiratory symptoms (cough, wheezing, shortness of breath), neonatal hepatitis",Genetic disorder,Pitta
Bile Duct Cancer (Cholangiocarcinoma),Liver disease,"jaundice, pruritus, abdominal pain, weight loss, fever, hepatomegaly, dark urine, pale stools, loss of appetite, fatigue, ascites",Malignant neoplasm,Pitta
Biliary Atresia,Liver disease,"jaundice, pale stools, dark urine, hepatomegaly, splenomegaly, failure to thrive, ascites, pruritus, easy bruising, portal hypertension signs",Congenital disorder,Pitta
Hepatic Cysts,Liver disease,"usually asymptomatic, but can cause abdominal discomfort, fullness, bloating, hepatomegaly, palpable mass, rarely jaundice, rarely infection or rupture",Benign lesion,Kapha
Gilbert's Syndrome,Liver disease,"mild jaundice, fatigue, mild abdominal discomfort, nausea, no other significant symptoms, often triggered by fasting, illness, or stress",Genetic disorder,Pitta
Fascioliasis (Parasitic liver infection),Liver disease,"fever, right upper quadrant pain, hepatomegaly, jaundice, weight loss, malaise, urticaria, eosinophilia, nausea, vomiting, diarrhea, pruritus",Infectious disease,Pitta
Drug-Induced Liver Disease,Liver disease,"jaundice, abdominal pain, dark urine, diarrhea, fatigue, fever, headache, loss of appetite, nausea, vomiting, rash, white or clay-colored stools, itching, right upper quadrant pain, hepatomegaly, pruritus, easy bruising, confusion (in severe cases), ascites (in advanced cases)",Toxic/metabolic disorder,Pitta
MASLD,Liver disease,"fatigue, mild right upper quadrant discomfort, hepatomegaly, mild jaundice, malaise, weight gain, insulin resistance features, pruritus, easy bruising",Metabolic disease,Kapha
MetALD,Liver disease,"fatigue, jaundice, abdominal pain, hepatomegaly, ascites, confusion, spider angiomata, palmar erythema, pruritus, easy bruising, weight loss, nausea, anorexia",Metabolic disease,Pitta
Fatty Liver Disease (general),Liver disease,"fatigue, mild right upper quadrant discomfort, hepatomegaly, mild jaundice, malaise, weight gain or loss, elevated liver enzymes, pruritus, easy bruising",Metabolic disease,Kapha
Liver Lesions,Liver disease,"usually asymptomatic, but can cause abdominal discomfort, fullness, palpable mass, hepatomegaly, rarely jaundice, rarely pain",Benign or malignant lesion,Kapha
Portal Hypertension,Liver disease,"ascites, splenomegaly, gastrointestinal bleeding, varices, edema, confusion, easy bruising, fatigue, jaundice, palmar erythema, spider angiomata",Complication of liver disease,Pitta;Kapha
Variceal Hemorrhage,Liver disease,"vomiting blood (hematemesis), black tarry stools (melena), dizziness, weakness, shock (in severe cases), abdominal pain, confusion, jaundice (if underlying liver disease)",Complication of portal hypertension,Pitta
Ascites,Liver disease,"abdominal distension, fullness, discomfort, shortness of breath, weight gain, edema, early satiety, fatigue, nausea, umbilical hernia, infection risk (spontaneous bacterial peritonitis), jaundice (if underlying liver disease)",Complication of liver disease,Kapha
Hepatic Fibrosis,Liver disease,"right upper abdominal pain, fatigue, loss of appetite, nausea, vomiting, jaundice, itchy skin, swelling in legs or ankles (edema), low grade fever, weakness, mild abdominal distension, easy bruising, sometimes no symptoms in early stages",Chronic liver disease,Pitta;Kapha
Chronic Liver Disease (general),Liver disease,"jaundice, fatigue, itching, loss of appetite, nausea, vomiting, right upper abdominal pain, abdominal distension, intestinal bleeding (in severe cases), weakness, edema, easy bruising, confusion, muscle wasting, dark urine, pale stools",Chronic liver disease,Pitta;Kapha
Budd-Chiari Syndrome,Liver disease,"abdominal pain (especially right upper quadrant), hepatomegaly, ascites, jaundice, leg swelling, fatigue, nausea, vomiting, splenomegaly, weight gain, varices, gastrointestinal bleeding, confusion (if severe)",Vascular liver disorder,Pitta
Hepatic Sarcoidosis,Liver disease,"fatigue, right upper quadrant pain, hepatomegaly, jaundice, pruritus, fever, weight loss, night sweats, splenomegaly, mild abdominal discomfort, sometimes asymptomatic",Granulomatous disease,Pitta
End-stage Liver Disease,Liver disease,"jaundice, severe fatigue, confusion, drowsiness, easy bruising, bleeding, ascites, edema, muscle wasting, pruritus, dark urine, pale stools, breath odor (foetor hepaticus), hepatic encephalopathy, gastrointestinal bleeding, infections",Chronic liver disease,Pitta;Kapha
Toxic Hepatitis,Liver disease,"jaundice, fatigue, nausea, vomiting, abdominal pain, loss of appetite, dark urine, pale stools, pruritus, fever, rash, confusion (in severe cases), hepatomegaly",Toxic/metabolic disorder,Pitta
Drug-Induced Cholestasis,Liver disease,"jaundice, pruritus, dark urine, pale stools, fatigue, abdominal pain, nausea, vomiting, loss of appetite, hepatomegaly, easy bruising",Toxic/metabolic disorder,Pitta
Neonatal Hepatitis,Liver disease,"jaundice, poor feeding, failure to thrive, hepatomegaly, splenomegaly, dark urine, pale stools, vomiting, irritability, pruritus, abdominal distension",Pediatric liver disease,Pitta
Reye’s Syndrome,Liver disease,"vomiting, lethargy, irritability, confusion, seizures, loss of consciousness, rapid breathing, hepatomegaly, jaundice (sometimes), abnormal behavior, coma (severe cases)",Acute metabolic disorder (pediatric),Pitta
Cholestasis of Pregnancy,Liver disease,"pruritus (especially on palms and soles), jaundice, dark urine, pale stools, fatigue, right upper quadrant pain, nausea, poor appetite, mild abdominal discomfort",Pregnancy-related liver disorder,Pitta
Congenital Hepatic Fibrosis,Liver disease,"swollen abdomen, enlarged and/or abnormally shaped liver, enlarged spleen, gastrointestinal bleeding, vomiting blood, passing black-colored stool, infection of the bile ducts (cholangitis), gallstones, nausea, fatigue, fever, itchy skin, nephromegaly, polycystic kidney disease, normal liver function tests (often), unexplained weight loss or failure to thrive (in children), fluid buildup in legs or stomach, jaundice (in advanced cases)",Genetic/congenital disorder,Kapha;Pitta
Hepatic Adenoma,Liver disease,"right upper abdominal pain, palpable mass, fullness, nausea, vomiting, sometimes jaundice, rarely rupture with sudden severe pain and shock, often asymptomatic",Benign liver tumor,Pitta
Secondary Biliary Cirrhosis,Liver disease,"jaundice, pruritus, dark urine, pale stools, fatigue, right upper quadrant pain, hepatomegaly, splenomegaly, ascites, easy bruising, gastrointestinal bleeding, weight loss, edema",Chronic liver disease (secondary to bile duct obstruction),Pitta;Kapha
Infectious Liver Disease (general),Liver disease,"fever, right upper quadrant pain, jaundice, hepatomegaly, malaise, fatigue, nausea, vomiting, loss of appetite, weight loss, chills, sweating, sometimes rash, pruritus",Infectious disease,Pitta
Hepatic Abscesses (general),Liver disease,"fever, right upper quadrant pain, hepatomegaly, chills, sweating, weight loss, malaise, jaundice (sometimes), tender liver, cough, pleuritic pain, anorexia, nausea, vomiting",Infectious disease,Pitta
Portal Vein Thrombosis,Liver disease,"abdominal pain, splenomegaly, ascites, gastrointestinal bleeding (varices), fever (if infection), sometimes no symptoms, portal hypertension signs",Vascular liver disorder,Pitta;Kapha
Cryptogenic Liver Disease,Liver disease,"jaundice, fatigue, pruritus, right upper quadrant pain, hepatomegaly, splenomegaly, ascites, easy bruising, gastrointestinal bleeding, weight loss, edema, muscle wasting, dark urine, pale stools",Chronic liver disease (unknown cause),Pitta;Kapha
Hepatic Infarction,Liver disease,"right upper abdominal pain, fever, nausea, vomiting, jaundice (sometimes), hepatomegaly, shock (if severe), sometimes asymptomatic",Vascular liver disorder,Pitta
Hepatic Veno-Occlusive Disease,Liver disease,"right upper quadrant pain, hepatomegaly, ascites, jaundice, weight gain, edema, fatigue, nausea, vomiting, portal hypertension signs",Vascular liver disorder,Pitta;Kapha
Liver Glycogenosis,Liver disease,"hepatomegaly, hypoglycemia, growth retardation, muscle weakness, fatigue, abdominal distension, elevated liver enzymes, sometimes splenomegaly, lactic acidosis, hyperlipidemia, gout, easy bruising",Metabolic/genetic disorder,Kapha
Iron Overload (related to liver),Liver disease,"fatigue, joint pain, abdominal pain, hepatomegaly, skin hyperpigmentation (bronze skin), diabetes, loss of libido, heart problems, cirrhosis signs, pruritus, dark urine, arthralgia, weight loss, weakness, liver dysfunction, easy bruising, jaundice (in advanced cases)",Metabolic disorder,Pitta
Beta-oxidation Defects affecting liver,Liver disease,"hypoketotic hypoglycemia, hepatomegaly, liver dysfunction, steatosis, metabolic acidosis, hyperammonemia, lethargy, episodic vomiting, seizures, arrhythmia, Reye-like symptoms, muscle weakness, exercise intolerance, coma, sudden death, cardiomyopathy, myalgia, increased liver enzymes",Metabolic/genetic disorder,Kapha
Mitochondrial Hepatopathies,Liver disease,"liver dysfunction, hypoglycemia, lactic acidosis, hepatomegaly, failure to thrive, vomiting, muscle weakness, developmental delay, neurological symptoms (seizures, hypotonia), jaundice, elevated liver enzymes, fatigue, growth retardation",Metabolic/genetic disorder,Kapha;Pitta
Cholangiocarcinoma (Bile duct cancer),Liver disease,"jaundice, pruritus, abdominal pain, weight loss, fever, hepatomegaly, dark urine, pale stools, loss of appetite, fatigue, ascites, nausea, vomiting",Malignant neoplasm,Pitta
Fibropolycystic Liver Disease,Liver disease,"abdominal discomfort, fullness, hepatomegaly, palpable masses, early satiety, bloating, rarely jaundice, portal hypertension signs, sometimes kidney cysts, rarely infection or rupture",Genetic/congenital disorder,Kapha
Nonalcoholic Fatty Liver Disease (NAFLD),Liver disease,"often asymptomatic, fatigue, malaise, upper abdominal discomfort, hepatomegaly, mild jaundice, weight gain, insulin resistance features, pruritus, easy bruising, elevated liver enzymes, metabolic syndrome features",Metabolic disease,Kapha
Hepatic Steatosis,Liver disease,"often asymptomatic, fatigue, malaise, upper abdominal discomfort, hepatomegaly, mild jaundice, weight gain, elevated liver enzymes, pruritus, easy bruising, metabolic syndrome features",Metabolic disease,Kapha
Liver Granulomas,Liver disease,"often asymptomatic, but can cause fever, right upper quadrant pain, hepatomegaly, jaundice, pruritus, fatigue, weight loss, night sweats, splenomegaly, mild abdominal discomfort",Granulomatous disease,Pitta
Wilson's Disease Hepatic Manifestations,Liver disease,"jaundice, fatigue, abdominal pain, hepatomegaly, splenomegaly, easy bruising, ascites, edema, joint pain, behavioral changes, dark urine, pale stools, pruritus, coagulopathy, liver failure (in advanced cases)",Metabolic/genetic disorder,Pitta
Liver Cavernous Hemangioma,Liver disease,"usually asymptomatic, but can cause right upper quadrant pain, fullness, nausea, early satiety, rarely jaundice, palpable mass (if large), rarely rupture with sudden severe pain",Benign tumor,Kapha
Epstein-Barr Virus Hepatitis,Liver disease,"fever, fatigue, sore throat, swollen lymph nodes, pharyngitis with tonsillar exudate, hepatomegaly, splenomegaly, rash, abdominal pain, eyelid swelling, nausea, vomiting, jaundice, pruritus, abdominal tenderness, dark urine, acholic (light-colored) stools, loss of appetite, muscle weakness, night sweats, headache, joint pain, swollen tonsils, rash after amoxicillin, lymphadenopathy, malaise",Infectious disease,Pitta
Cytomegalovirus Hepatitis,Liver disease,"fever, fatigue, malaise, jaundice, hepatomegaly, splenomegaly, abdominal pain, nausea, vomiting, dark urine, pale stools, loss of appetite, rash, joint pain, pharyngitis, lymphadenopathy",Infectious disease,Pitta
Liver Sarcoma (rare liver cancer),Liver disease,"abdominal pain, palpable mass, weight loss, fatigue, jaundice, fever, loss of appetite, ascites, hepatomegaly, nausea, vomiting, night sweats",Malignant neoplasm,Pitta
Hepatic Enzyme Deficiency Disorders,Liver disease,"hypoglycemia, hepatomegaly, growth retardation, muscle weakness, fatigue, abdominal distension, vomiting, lactic acidosis, hyperlipidemia, easy bruising, developmental delay, elevated liver enzymes",Metabolic/genetic disorder,Kapha
Congestive Hepatopathy (due to heart failure),Liver disease,"abdominal discomfort, hepatomegaly, ascites, jaundice, peripheral edema, fatigue, nausea, right upper quadrant pain, dark urine, easy bruising, mild pruritus",Vascular/secondary liver disorder,Kapha
Hypoxic Hepatitis,Liver disease,"sudden onset jaundice, abdominal pain, nausea, vomiting, confusion, fatigue, hepatomegaly, dark urine, pale stools, easy bruising, ascites (in severe cases), shock (in severe cases)",Vascular/ischemic liver disorder,Pitta
Autoimmune Cholangiopathy,Liver disease,"pruritus, jaundice, fatigue, right upper quadrant pain, hepatomegaly, xanthomas, xanthelasmas, dry eyes, dry mouth, steatorrhea, osteoporosis, hyperpigmentation, portal hypertension signs",Autoimmune disease,Pitta
Echinococcosis (Hydatid cysts in liver),Liver disease,"abdominal pain, hepatomegaly, palpable mass, nausea, vomiting, fever, jaundice (if cyst ruptures or compresses bile ducts), allergic reactions (if cyst ruptures), weight loss, cough (if cysts rupture into diaphragm), pruritus",Parasitic/infectious disease,Kapha
Liver Angiosarcoma,Liver disease,"abdominal pain, weight loss, fatigue, hepatomegaly, jaundice, ascites, palpable mass, fever, anemia, easy bruising, gastrointestinal bleeding",Malignant neoplasm,Pitta
Hepatorenal Syndrome,Liver disease,"ascites, edema, jaundice, confusion, fatigue, nausea, vomiting, decreased urine output, dark urine, muscle wasting, easy bruising, breath odor (foetor hepaticus), renal failure symptoms (oliguria, azotemia)",Complication of liver disease,Pitta;Kapha
Idiopathic Portal Hypertension,Liver disease,"splenomegaly, recurrent variceal bleeding, gastrointestinal bleeding, ascites, rectal bleeding, pain or discomfort, itching or irritation, confusion, sometimes asymptomatic, thrombocytopenia, portal vein thrombosis, mild hepatomegaly, fatigue, edema, mild jaundice, abdominal distension",Vascular liver disorder,Pitta;Kapha
Hepatic Amyloidosis,Liver disease,"hepatomegaly, fatigue, weight loss, jaundice, ascites, right upper quadrant pain, easy bruising, edema, proteinuria, splenomegaly, dark urine, pale stools, pruritus, gastrointestinal bleeding, heart failure symptoms (if cardiac involvement)",Metabolic/infiltrative disorder,Kapha
Hepatic Lymphoma,Liver disease,"hepatomegaly, abdominal pain, weight loss, fever, night sweats, fatigue, jaundice, ascites, palpable mass, pruritus, splenomegaly, loss of appetite, dark urine, pale stools",Malignant neoplasm,Pitta
Hepatic Leiomyoma,Liver disease,"usually asymptomatic, but can cause right upper abdominal pain, palpable mass, fullness, nausea, vomiting, rarely jaundice",Benign tumor,Kapha
Hepatic Candidiasis,Liver disease,"fever, right upper quadrant pain, hepatomegaly, chills, malaise, weight loss, nausea, vomiting, jaundice (rare), abdominal tenderness, sepsis (in severe cases), splenomegaly",Infectious disease (fungal),Pitta
Neonatal Hemochromatosis,Liver disease,"jaundice, hepatomegaly, ascites, edema, failure to thrive, dark urine, pale stools, easy bruising, bleeding, liver dysfunction, anemia, hypoglycemia, irritability, poor feeding",Metabolic/genetic disorder (pediatric),Pitta
Viral Hepatosis,Liver disease,"fever, fatigue, malaise, jaundice, hepatomegaly, abdominal pain, nausea, vomiting, dark urine, pale stools, pruritus, loss of appetite, rash, joint pain",Infectious disease (viral),Pitta
Intrahepatic Cholestasis,Liver disease,"jaundice, pruritus, dark urine, pale stools, fatigue, right upper quadrant pain, hepatomegaly, nausea, vomiting, loss of appetite, easy bruising",Metabolic/liver disorder,Pitta
Portal Tract Inflammation,Liver disease,"right upper quadrant pain, mild jaundice, fatigue, hepatomegaly, pruritus, fever, malaise, dark urine, pale stools, sometimes asymptomatic",Inflammatory liver disorder,Pitta
Hepatic Ischemia,Liver disease,"sudden onset abdominal pain, jaundice, nausea, vomiting, confusion, fatigue, hepatomegaly, dark urine, pale stools, easy bruising, ascites (in severe cases), shock (in severe cases)",Vascular/ischemic liver disorder,Pitta
Secondary Liver Cancer (Metastasis),Liver disease,"feeling generally unwell, tiredness, discomfort or pain on the right side of the abdomen, pain in the right shoulder, loss of appetite, weight loss, nausea, vomiting, bloating, fever, fatigue, abdominal swelling or bloating, jaundice (yellowing of skin and eyes), dark urine, pale stools, itching, hiccups, swelling of the legs (edema), enlarged liver, palpable mass, confusion (in advanced cases), ascites (fluid in abdomen)",Malignant neoplasm (metastatic),Pitta
Hepatic Dysfunction due to Sepsis,Liver disease,"jaundice, confusion, drowsiness, fatigue, nausea, vomiting, abdominal pain, hepatomegaly, dark urine, pale stools, easy bruising, bleeding, ascites, edema, low blood pressure, rapid breathing, fever, shock (in severe cases)",Complication of systemic infection,Pitta
Hepatic Steatohepatitis,Liver disease,"fatigue, right upper quadrant discomfort, hepatomegaly, mild jaundice, malaise, weight gain or loss, elevated liver enzymes, pruritus, easy bruising, insulin resistance features",Metabolic disease,Kapha
Hepatic Lipidosis,Liver disease,"often asymptomatic, but can cause fatigue, malaise, right upper quadrant discomfort, hepatomegaly, mild jaundice, weight gain, elevated liver enzymes, pruritus, easy bruising",Metabolic disease,Kapha
Drug Toxicity Hepatitis,Liver disease,"jaundice, abdominal pain, dark urine, diarrhea, fatigue, fever, headache, loss of appetite, nausea, vomiting, rash, white or clay-colored stools, itching, right upper quadrant pain, hepatomegaly, pruritus, easy bruising, confusion (in severe cases), ascites (in advanced cases)",Toxic/metabolic disorder,Pitta
Hepatic Granulomatous Disease,Liver disease,"often asymptomatic, but can cause fever, right upper quadrant pain, hepatomegaly, jaundice, pruritus, fatigue, weight loss, night sweats, splenomegaly, mild abdominal discomfort",Granulomatous/inflammatory disease,Pitta
Hepatic Necrosis,Liver disease,"sudden onset jaundice, abdominal pain, nausea, vomiting, confusion, fatigue, hepatomegaly, dark urine, pale stools, easy bruising, ascites (in severe cases), shock (in severe cases)",Acute liver injury,Pitta
Hepatic Cystadenoma,Liver disease,"usually asymptomatic, but can cause abdominal discomfort, fullness, palpable mass, hepatomegaly, rarely jaundice, rarely pain, rarely infection or rupture",Benign tumor,Kapha
Hepatic Polycystosis,Liver disease,"abdominal discomfort, fullness, hepatomegaly, palpable masses, early satiety, bloating, rarely jaundice, portal hypertension signs, sometimes kidney cysts, rarely infection or rupture",Genetic/congenital disorder,Kapha
Hepatic Periportal Fibrosis,Liver disease,"often asymptomatic, but can cause right upper quadrant pain, hepatomegaly, splenomegaly, portal hypertension signs (ascites, varices), fatigue, mild jaundice, abdominal distension, easy bruising",Chronic liver disease (fibrotic),Pitta;Kapha
Lysosomal Acid Lipase Deficiency,Liver disease,"vomiting, diarrhea, abdominal distention, hepatomegaly, splenomegaly, severe failure to thrive (in infants), steatorrhea, malabsorption, low-grade fever, fatigue, elevated liver enzymes, progressive liver fibrosis, cirrhosis, elevated cholesterol levels, vomiting, abdominal pain, gastrointestinal bleeding, gallbladder disease, growth retardation, anemia, adrenal enlargement and calcification (in infants), atherosclerosis, cardiac complications, neurological symptoms (in some cases), poor growth, jaundice (in advanced disease), easy bruising",Genetic/metabolic disorder,Kapha;Pitta
Iron deficiency anemia,Hematological diseases,"Extreme tiredness, weakness, pale skin, chest pain, fast heartbeat, shortness of breath, headache, dizziness, cold hands and feet, sore or irritated tongue, brittle nails, restless legs syndrome, pica (craving non-food substances)",Anemia,vata;pitta
Aplastic anemia,Hematological diseases,"Fatigue, shortness of breath, dizziness, headaches, coldness in hands or feet, pale skin, chest pain, frequent infections, easy bruising, nosebleeds, bleeding gums, prolonged bleeding, weakness, red or purple skin spots, fast or irregular heartbeat, fever",Bone marrow failure/anemia,vata
Autoimmune hemolytic anemia,Hematological diseases,"Weakness, fatigue, chills, fast heart rate (tachycardia), pale skin, shortness of breath, chest pain, jaundice (yellow skin and eyes), dark urine, enlarged spleen, headache, pain in back and legs, cold hands and feet, bluish or reddish discoloration in extremities",Hemolytic anemia,pitta;vata
Sickle cell anemia,Hematological diseases,"Anemia (fatigue, weakness, paleness), periodic episodes of severe pain (pain crises), swelling of hands and feet, frequent infections, delayed growth or puberty, vision problems, jaundice",Hemoglobinopathy/Anemia,vata;kapha
Thalassemia (alpha and beta),Hematological diseases,"Fatigue, shortness of breath, dizziness, weakness, irregular or fast heartbeat, headaches, leg pain, trouble concentrating, pale or yellow skin, dark urine, lack of appetite, slow growth, late puberty, bone deformities, enlarged spleen, swollen belly",Hemoglobinopathy/Anemia,pitta;kapha
Congenital dyserythropoietic anemia,Hematological diseases,"Fatigue, lack of energy, jaundice, pale skin, enlarged spleen, gallstones, small stature, skeletal abnormalities",Congenital anemia,kapha;vata
Diamond-Blackfan anemia,Hematological diseases,"Pale gums, very light skin, sleepiness, poor appetite, low energy, fast heartbeat, physical abnormalities (small head, low-set ears, cleft palate, short neck, heart problems, malformed thumbs), delayed growth and puberty",Congenital anemia,vata;pitta
Glucose-6-phosphate dehydrogenase deficiency (G6PD deficiency),Hematological diseases,"Fatigue, pale color, jaundice (yellow skin and eyes), shortness of breath, rapid heartbeat, dark urine, enlarged spleen, fever, abdominal pain, diarrhea, nausea",Hemolytic anemia,pitta
Hereditary spherocytosis,Hematological diseases,"(Symptoms generally include anemia signs such as fatigue, jaundice, enlarged spleen, gallstones, and pallor; specifics were not retrieved in search but typically) anemia symptoms, jaundice, splenomegaly, fatigue",Hemolytic anemia,pitta;vata
Sideroblastic anemia,Hematological diseases,"Symptoms typically include fatigue, weakness, pale skin, shortness of breath, heart palpitations, enlarged spleen, and iron overload signs (not fully detailed in sources)",Anemia (disorder of heme synthesis),pitta;kapha
Paroxysmal nocturnal hemoglobinuria,Hematological diseases,"Fatigue, dark/red/brown urine (especially at night or early morning), hemolytic anemia, shortness of breath, abdominal pain, smooth muscle dystonias (such as esophageal spasm or erectile dysfunction), thrombosis (blood clots), renal insufficiency, bone marrow failure, headaches, chest pain, difficulty swallowing, easy bruising, recurrent infections, pancytopenia (low levels of all blood cells), heart failure, pulmonary hypertension, jaundice, back pain, fever, dizziness, palpitations, leg pain, hemoglobinuria, hematuria, weakness, pallor, rapid heartbeat, bleeding tendencies, impaired kidney function, high blood pressure",Acquired hemolytic anemia / Bone marrow failure syndrome,vata;pitta;kapha
Fanconi anemia,Hematological diseases,"Fatigue, frequent infections, easy bruising, nosebleeds, abnormal skin pigmentation, short stature, thumb and arm abnormalities, microcephaly (small head), developmental delay, hearing loss, kidney problems, heart defects, low birth weight, café-au-lait spots, hypogonadism, infertility, increased risk of cancers (especially leukemia), pancytopenia, poor appetite, shortness of breath, dizziness, headaches, pale skin, bleeding gums, mouth sores, delayed puberty, learning difficulties",Congenital bone marrow failure syndrome,vata;kapha;pitta
Hemolytic disease of the newborn,Hematological diseases,"Jaundice, anemia, pale skin, swelling of the body (hydrops fetalis), enlarged liver and spleen, difficulty breathing, heart failure, irritability, poor feeding, lethargy, high-pitched crying, dark urine, rapid heartbeat, low muscle tone, seizures, kernicterus (brain damage from high bilirubin), edema, vomiting, diarrhea, low birth weight, bruising",Alloimmune hemolytic anemia (neonatal),pitta;vata;kapha
Hemoglobin H disease,Hematological diseases,"Mild to moderate anemia, jaundice, fatigue, pallor, splenomegaly (enlarged spleen), hepatomegaly (enlarged liver), gallstones, leg ulcers, growth retardation, bone deformities, dark urine, shortness of breath, weakness, facial bone changes, increased susceptibility to infections, hemolysis, iron overload, headaches, dizziness, palpitations",Thalassemia (alpha),pitta;vata;kapha
Iron-refractory iron deficiency anemia (IRIDA),Hematological diseases,"Microcytic anemia, fatigue, pallor, weakness, poor growth, delayed development, irritability, shortness of breath, brittle nails, hair loss, restless legs syndrome, poor appetite, headaches, dizziness, cold hands and feet, difficulty concentrating, low hemoglobin, low serum iron, no response to oral iron therapy",Hereditary iron metabolism disorder,vata;pitta;kapha
Warm autoimmune hemolytic anemia,Hematological diseases,"Fatigue, jaundice, pallor, dark urine, shortness of breath, rapid heartbeat, dizziness, headaches, splenomegaly, fever, weakness, chest pain, abdominal pain, easy bruising, hemolytic anemia, chills, back pain, leg pain, hemoglobinuria, irritability, confusion, palpitations, weight loss, night sweats",Autoimmune hemolytic anemia,pitta;vata;kapha
Cold agglutinin disease,Hematological diseases,"Fatigue, jaundice, pallor, dark urine, acrocyanosis (bluish discoloration of fingers, toes, ears, nose), hemolytic anemia, weakness, headaches, dizziness, rapid heartbeat, shortness of breath, splenomegaly, Raynaud's phenomenon, numbness or tingling in extremities, fever, chills, back pain, hemoglobinuria, confusion, palpitations, easy bruising, cold-induced symptoms",Autoimmune hemolytic anemia (cold type),vata;kapha;pitta
Myelodysplastic syndromes,Hematological diseases,"Fatigue, weakness, pallor, shortness of breath, frequent infections, easy bruising, bleeding, petechiae, dizziness, headaches, rapid heartbeat, fever, weight loss, night sweats, bone pain, mouth sores, poor appetite, anemia, leukopenia, thrombocytopenia, splenomegaly, hepatomegaly, confusion, irritability, difficulty concentrating",Bone marrow failure syndrome / Pre-leukemic disorder,vata;pitta;kapha
Erythropoietic protoporphyria,Hematological diseases,"Photosensitivity (painful skin reaction to sunlight), burning, itching, redness, swelling, blistering, skin thickening, fatigue, mild anemia, liver dysfunction, gallstones, jaundice, abdominal pain, nausea, vomiting, poor appetite, headaches, dizziness, irritability, pale skin, weakness, dark urine, difficulty concentrating",Porphyria (erythropoietic),pitta;vata;kapha
Elliptocytosis,Hematological diseases,"Mild anemia, fatigue, pallor, jaundice, splenomegaly, dark urine, weakness, shortness of breath, headaches, dizziness, hemolytic anemia, easy bruising, rapid heartbeat, irritability, poor appetite, growth retardation, gallstones, hemoglobinuria, back pain, leg pain, confusion, palpitations",Hereditary hemolytic anemia (membrane defect),vata;pitta;kapha
Acute lymphoblastic leukemia (ALL),Hematological diseases,"Fatigue, weakness, fever, frequent infections, easy bruising or bleeding, bone or joint pain, swollen lymph nodes, loss of appetite, weight loss, night sweats, pallor, shortness of breath, headaches, dizziness, abdominal pain, enlarged spleen (splenomegaly), enlarged liver (hepatomegaly), petechiae (small red spots), anemia, irritability, confusion, rapid heartbeat, bleeding gums, nosebleeds, recurrent fevers, skin rashes, difficulty concentrating, pain under ribs, abdominal fullness, mouth sores, delayed healing, excessive sweating, chills, back pain, chest pain, cough, nausea, vomiting, constipation, diarrhea, muscle weakness, blurred vision, seizures, difficulty walking, testicular swelling",Acute lymphoid leukemia,vata;pitta;kapha
Acute myeloid leukemia (AML),Hematological diseases,"Fatigue, weakness, fever, frequent infections, easy bruising or bleeding, bone or joint pain, loss of appetite, weight loss, night sweats, pallor, shortness of breath, headaches, dizziness, abdominal pain, enlarged spleen, enlarged liver, petechiae, anemia, irritability, confusion, rapid heartbeat, bleeding gums, nosebleeds, recurrent fevers, skin rashes, difficulty concentrating, pain under ribs, abdominal fullness, mouth sores, delayed healing, excessive sweating, chills, back pain, chest pain, cough, nausea, vomiting, constipation, diarrhea, muscle weakness, blurred vision, seizures, difficulty walking, local infections (like laryngitis), joint pain, abdominal fullness",Acute myeloid leukemia,vata;pitta;kapha
Chronic lymphocytic leukemia (CLL),Hematological diseases,"Fatigue, weakness, fever, frequent infections, easy bruising or bleeding, swollen lymph nodes, loss of appetite, weight loss, night sweats, pallor, shortness of breath, headaches, dizziness, abdominal pain, enlarged spleen, enlarged liver, petechiae, anemia, irritability, confusion, rapid heartbeat, bleeding gums, nosebleeds, recurrent fevers, skin rashes, difficulty concentrating, pain under ribs, abdominal fullness, mouth sores, delayed healing, excessive sweating, chills, back pain, chest pain, cough, nausea, vomiting, constipation, diarrhea, muscle weakness, blurred vision, night sweats, drenching sweats, persistent infections, enlarged lymph nodes in neck/armpit/groin",Chronic lymphoid leukemia,vata;pitta;kapha
Chronic myeloid leukemia (CML),Hematological diseases,"Fatigue, weakness, fever, frequent infections, easy bruising or bleeding, bone or joint pain, loss of appetite, weight loss, night sweats, pallor, shortness of breath, headaches, dizziness, abdominal pain, enlarged spleen, enlarged liver, petechiae, anemia, irritability, confusion, rapid heartbeat, bleeding gums, nosebleeds, recurrent fevers, skin rashes, difficulty concentrating, pain under ribs, abdominal fullness, mouth sores, delayed healing, excessive sweating, chills, back pain, chest pain, cough, nausea, vomiting, constipation, diarrhea, muscle weakness, blurred vision, drenching night sweats, early satiety, left upper quadrant pain, gout, priapism",Chronic myeloid leukemia,vata;pitta;kapha
