Disease,Common disease group,Symptoms,Disease Group,Dosha Types,symptoms_clean,dosha_clean
Influenza (canine; equine; swine; avian),zoonotic diseases,Fever; cough; sore throat; runny nose; muscle aches; headache; fatigue; chills,Viral zoonosis (influenza virus),pitta,fever cough sore throat runny nose muscle aches headache fatigue chills,pitta
Kyasanur Forest disease,zoonotic diseases,Fever; headache; muscle pain; vomiting; gastrointestinal bleeding; low blood pressure; mental confusion,Viral zoonosis (flavivirus),vata|pitta,fever headache muscle pain vomiting gastrointestinal bleeding low blood pressure mental confusion,vata|pitta
Lassa fever,zoonotic diseases,Fever; weakness; malaise; headache; sore throat; muscle pain; chest pain; nausea; vomiting; diarrhea; bleeding,Viral zoonosis (arenavirus),vata|pitta,fever weakness malaise headache sore throat muscle pain chest pain nausea vomiting diarrhea bleeding,vata|pitta
Leishmaniasis,zoonotic diseases,Skin sores; ulcers; fever; weight loss; enlargement of spleen and liver; anemia; fatigue,Parasitic zoonosis (protozoal infection),pitta,skin sores ulcers fever weight loss enlargement of spleen and liver anemia fatigue,pitta
Leptospirosis,zoonotic diseases,Fever; headache; chills; muscle aches; vomiting; jaundice; red eyes; abdominal pain; diarrhea; rash,Bacterial zoonosis (Leptospira species),pitta,fever headache chills muscle aches vomiting jaundice red eyes abdominal pain diarrhea rash,pitta
Listeriosis,zoonotic diseases,Fever; muscle aches; nausea; diarrhea; headache; stiff neck; confusion; loss of balance; convulsions,Bacterial zoonosis (Listeria monocytogenes),vata|pitta,fever muscle aches nausea diarrhea headache stiff neck confusion loss of balance convulsions,vata|pitta
Lyme disease,zoonotic diseases,Fever; headache; fatigue; skin rash (erythema migrans); joint pain; muscle aches; neurological symptoms (late stage),Bacterial zoonosis (Borrelia burgdorferi),vata|pitta,fever headache fatigue skin rash erythema migrans joint pain muscle aches neurological symptoms late stage,vata|pitta
Lymphocytic choriomeningitis,zoonotic diseases,Fever; malaise; lack of appetite; muscle aches; headache; nausea; vomiting; stiff neck; confusion,Viral zoonosis (arenavirus),vata|pitta,fever malaise lack of appetite muscle aches headache nausea vomiting stiff neck confusion,vata|pitta
Marburg virus disease,zoonotic diseases,Fever; chills; headache; muscle aches; rash; nausea; vomiting; chest pain; sore throat; abdominal pain; diarrhea; bleeding; shock,Viral zoonosis (filovirus),vata|pitta,fever chills headache muscle aches rash nausea vomiting chest pain sore throat abdominal pain diarrhea bleeding shock,vata|pitta
Monkeypox,zoonotic diseases,Rash (can be painful or itchy; may appear on face; hands; feet; mouth; genitals; or anus); fever; headache; muscle aches; back pain; low energy; swollen lymph nodes; sore throat; chills; exhaustion; rectal pain; pain or difficulty swallowing; dysuria; proctitis; ulcers or lesions in the mouth; secondary infections; pneumonia; sepsis; encephalitis; vision loss (complications),Viral zoonosis (Orthopoxvirus),pitta,rash can be painful or itchy may appear on face hands feet mouth genitals or anus fever headache muscle aches back pain low energy swollen lymph nodes sore throat chills exhaustion rectal pain pain or difficulty swallowing dysuria proctitis ulcers or lesions in the mouth secondary infections pneumonia sepsis encephalitis vision loss complications,pitta
Nipah virus infection,zoonotic diseases,Fever; headache; muscle pain; vomiting; sore throat; dizziness; drowsiness; altered consciousness; acute encephalitis; pneumonia; seizures; coma; respiratory distress,Viral zoonosis (Paramyxovirus),vata|pitta,fever headache muscle pain vomiting sore throat dizziness drowsiness altered consciousness acute encephalitis pneumonia seizures coma respiratory distress,vata|pitta
Orf virus infection,zoonotic diseases,Painful sores or nodules (usually on hands or forearms); fever; fatigue; swollen lymph nodes; lesions may ulcerate,Viral zoonosis (Poxvirus),pitta,painful sores or nodules usually on hands or forearms fever fatigue swollen lymph nodes lesions may ulcerate,pitta
Pasteurellosis,zoonotic diseases,Redness; swelling; pain at wound site; fever; chills; muscle aches; respiratory symptoms (if inhaled); sepsis (severe cases),Bacterial zoonosis (Pasteurella species),pitta,redness swelling pain at wound site fever chills muscle aches respiratory symptoms if inhaled sepsis severe cases,pitta
Plague (Yersinia pestis),zoonotic diseases,Fever; chills; headache; weakness; swollen and painful lymph nodes (buboes); abdominal pain; shock; bleeding; pneumonia; cough; chest pain,Bacterial zoonosis (Yersinia pestis),pitta,fever chills headache weakness swollen and painful lymph nodes buboes abdominal pain shock bleeding pneumonia cough chest pain,pitta
Psittacosis,zoonotic diseases,Fever; chills; headache; muscle aches; joint pain; dry cough; shortness of breath; fatigue; pneumonia; conjunctivitis; diarrhea,Bacterial zoonosis (Chlamydia psittaci),pitta,fever chills headache muscle aches joint pain dry cough shortness of breath fatigue pneumonia conjunctivitis diarrhea,pitta
Q fever,zoonotic diseases,Fever; severe headache; malaise; muscle pain; joint pain; dry cough; chills; confusion; nausea; vomiting; diarrhea; pneumonia; hepatitis; endocarditis (chronic cases),Bacterial zoonosis (Coxiella burnetii),vata|pitta,fever severe headache malaise muscle pain joint pain dry cough chills confusion nausea vomiting diarrhea pneumonia hepatitis endocarditis chronic cases,vata|pitta
Rabies,zoonotic diseases,Fever; headache; weakness; agitation; confusion; hallucinations; hydrophobia; paralysis; difficulty swallowing; excessive salivation; coma; death,Viral zoonosis (Rabies virus),vata|pitta,fever headache weakness agitation confusion hallucinations hydrophobia paralysis difficulty swallowing excessive salivation coma death,vata|pitta
Rat bite fever,zoonotic diseases,Fever; rash; muscle pain; joint pain; vomiting; headache; chills; ulcer at bite site (sometimes),Bacterial zoonosis (Streptobacillus moniliformis or Spirillum minus),vata|pitta,fever rash muscle pain joint pain vomiting headache chills ulcer at bite site sometimes,vata|pitta
Relapsing fever,zoonotic diseases,Recurrent episodes of fever; chills; headache; muscle aches; joint pain; nausea; vomiting; abdominal pain; rash; jaundice; bleeding (severe cases),Bacterial zoonosis (Borrelia species),vata|pitta,recurrent episodes of fever chills headache muscle aches joint pain nausea vomiting abdominal pain rash jaundice bleeding severe cases,vata|pitta
Rift Valley fever,zoonotic diseases,Sudden onset of fever; headache; muscle pain; joint pain; back pain; dizziness; weakness; chills; malaise; neck stiffness; light sensitivity; loss of appetite; vomiting; cough; flu-like symptoms; blurred vision; retinal lesions; partial blindness; confusion; seizures; coma; jaundice; bleeding (vomiting blood; bloody stool; bleeding from gums; skin; nose; injection sites); weight loss; prostration; nasal congestion; sore throat; arthralgia; myalgia; renal failure; nausea; hepatitis; haemorrhagic disease; encephalitis; miscarriage (in pregnant women),"Viral zoonosis (Phlebovirus, Bunyaviridae family)",vata|pitta,sudden onset of fever headache muscle pain joint pain back pain dizziness weakness chills malaise neck stiffness light sensitivity loss of appetite vomiting cough flu like symptoms blurred vision retinal lesions partial blindness confusion seizures coma jaundice bleeding vomiting blood bloody stool bleeding from gums skin nose injection sites weight loss prostration nasal congestion sore throat arthralgia myalgia renal failure nausea hepatitis haemorrhagic disease encephalitis miscarriage in pregnant women,vata|pitta
Rocky Mountain spotted fever,zoonotic diseases,Fever; headache; rash (starts on wrists and ankles; spreads to trunk); muscle pain; nausea; vomiting; abdominal pain; joint pain; loss of appetite; diarrhea; confusion; photophobia; neck stiffness; cough; respiratory distress; swelling; bleeding; coma,Bacterial zoonosis (Rickettsia rickettsii),pitta,fever headache rash starts on wrists and ankles spreads to trunk muscle pain nausea vomiting abdominal pain joint pain loss of appetite diarrhea confusion photophobia neck stiffness cough respiratory distress swelling bleeding coma,pitta
Salmonellosis,zoonotic diseases,Diarrhea; abdominal cramps; fever; nausea; vomiting; headache; muscle pain; chills; blood in stool; dehydration,Bacterial zoonosis (Salmonella species),pitta,diarrhea abdominal cramps fever nausea vomiting headache muscle pain chills blood in stool dehydration,pitta
SARS (Severe Acute Respiratory Syndrome),zoonotic diseases,Fever; chills; headache; muscle pain; malaise; dry cough; shortness of breath; sore throat; diarrhea; nausea; vomiting; respiratory distress; pneumonia,Viral zoonosis (Coronavirus),pitta,fever chills headache muscle pain malaise dry cough shortness of breath sore throat diarrhea nausea vomiting respiratory distress pneumonia,pitta
Scrub typhus,zoonotic diseases,Fever; headache; muscle pain; cough; abdominal pain; nausea; vomiting; diarrhea; rash; lymphadenopathy; eschar (black scab at bite site); confusion; respiratory distress,Bacterial zoonosis (Orientia tsutsugamushi),pitta,fever headache muscle pain cough abdominal pain nausea vomiting diarrhea rash lymphadenopathy eschar black scab at bite site confusion respiratory distress,pitta
Shigellosis,zoonotic diseases,Diarrhea (often bloody); abdominal pain; fever; nausea; vomiting; tenesmus; dehydration,Bacterial zoonosis (Shigella species),pitta,diarrhea often bloody abdominal pain fever nausea vomiting tenesmus dehydration,pitta
Streptobacillosis,zoonotic diseases,Fever; chills; muscle pain; joint pain; vomiting; headache; rash; ulcer at bite site (sometimes),Bacterial zoonosis (Streptobacillus moniliformis),vata|pitta,fever chills muscle pain joint pain vomiting headache rash ulcer at bite site sometimes,vata|pitta
Sporotrichosis,zoonotic diseases,Painless bump or ulcer at infection site; swelling; redness; nodules along lymph channels; fever (rare); joint pain (disseminated cases); cough; chest pain (pulmonary cases),Fungal zoonosis (Sporothrix schenckii),pitta,painless bump or ulcer at infection site swelling redness nodules along lymph channels fever rare joint pain disseminated cases cough chest pain pulmonary cases,pitta
Taeniasis,zoonotic diseases,Mild abdominal pain; nausea; diarrhea; weight loss; digestive disturbances; visible segments in stool; rarely neurological symptoms (neurocysticercosis),Parasitic zoonosis (Taenia species),vata,mild abdominal pain nausea diarrhea weight loss digestive disturbances visible segments in stool rarely neurological symptoms neurocysticercosis,vata
Toxocariasis,zoonotic diseases,Fever; cough; wheezing; abdominal pain; rash; vision loss; headache; fatigue; eosinophilia; neurological symptoms (rare),Parasitic zoonosis (Toxocara species),vata|pitta,fever cough wheezing abdominal pain rash vision loss headache fatigue eosinophilia neurological symptoms rare,vata|pitta
Toxoplasmosis,zoonotic diseases,Most people are asymptomatic; swollen lymph nodes; headache; fever; muscle aches; fatigue; malaise; sore throat; abdominal pain; skin rash; eye pain; blurred vision; floaters; poor vision; photophobia; confusion; poor coordination; muscle weakness; seizures; changes in alertness; breathing problems; cough; shortness of breath; jaundice; enlarged liver or spleen; developmental delays (in infants); convulsions; strabismus; abnormal head size; bruising; rash; encephalitis; chorioretinitis,"Parasitic zoonosis (Toxoplasma gondii, protozoal infection)",vata|pitta,most people are asymptomatic swollen lymph nodes headache fever muscle aches fatigue malaise sore throat abdominal pain skin rash eye pain blurred vision floaters poor vision photophobia confusion poor coordination muscle weakness seizures changes in alertness breathing problems cough shortness of breath jaundice enlarged liver or spleen developmental delays in infants convulsions strabismus abnormal head size bruising rash encephalitis chorioretinitis,vata|pitta
Trichinosis,zoonotic diseases,Nausea; diarrhea; vomiting; abdominal pain; fever; muscle pain; swelling of the face (especially around the eyes); headache; chills; cough; itchy skin; constipation; sensitivity to light; conjunctivitis; rash; fatigue; weakness; difficulty coordinating movements; heart and breathing problems (in severe cases),"Parasitic zoonosis (Trichinella species, nematode infection)",vata|pitta,nausea diarrhea vomiting abdominal pain fever muscle pain swelling of the face especially around the eyes headache chills cough itchy skin constipation sensitivity to light conjunctivitis rash fatigue weakness difficulty coordinating movements heart and breathing problems in severe cases,vata|pitta
Tuberculosis (bovine),zoonotic diseases,Chronic cough; chest pain; fever; night sweats; weight loss; fatigue; loss of appetite; hemoptysis (coughing up blood); swollen lymph nodes; abdominal pain; diarrhea; bone pain (if skeletal involvement),Bacterial zoonosis (Mycobacterium bovis),vata|pitta,chronic cough chest pain fever night sweats weight loss fatigue loss of appetite hemoptysis coughing up blood swollen lymph nodes abdominal pain diarrhea bone pain if skeletal involvement,vata|pitta
Tularemia,zoonotic diseases,Sudden fever; chills; headache; muscle aches; joint pain; dry cough; sore throat; swollen and painful lymph nodes; skin ulcer at infection site; eye pain and redness (if ocular); chest pain; difficulty breathing; pneumonia; abdominal pain; vomiting; diarrhea,Bacterial zoonosis (Francisella tularensis),vata|pitta,sudden fever chills headache muscle aches joint pain dry cough sore throat swollen and painful lymph nodes skin ulcer at infection site eye pain and redness if ocular chest pain difficulty breathing pneumonia abdominal pain vomiting diarrhea,vata|pitta
Venezuelan equine encephalitis,zoonotic diseases,Fever; headache; muscle pain; sore throat; nausea; vomiting; cough; photophobia; confusion; drowsiness; seizures; coma; neurological deficits (in severe cases),Viral zoonosis (Alphavirus),vata|pitta,fever headache muscle pain sore throat nausea vomiting cough photophobia confusion drowsiness seizures coma neurological deficits in severe cases,vata|pitta
Wesselsbron disease,zoonotic diseases,Fever; headache; muscle pain; joint pain; jaundice; nausea; vomiting; photophobia; miscarriage (in pregnant women); mild hemorrhagic symptoms (rare),Viral zoonosis (Flavivirus),vata|pitta,fever headache muscle pain joint pain jaundice nausea vomiting photophobia miscarriage in pregnant women mild hemorrhagic symptoms rare,vata|pitta
West Nile virus infection,zoonotic diseases,Fever; headache; body aches; joint pain; vomiting; diarrhea; rash; fatigue; weakness; neck stiffness; confusion; tremors; seizures; paralysis; encephalitis; meningitis,Viral zoonosis (Flavivirus),vata|pitta,fever headache body aches joint pain vomiting diarrhea rash fatigue weakness neck stiffness confusion tremors seizures paralysis encephalitis meningitis,vata|pitta
Western equine encephalitis,zoonotic diseases,Fever; headache; nausea; vomiting; malaise; stiff neck; confusion; drowsiness; tremors; seizures; coma; neurological deficits (in severe cases),Viral zoonosis (Alphavirus),vata|pitta,fever headache nausea vomiting malaise stiff neck confusion drowsiness tremors seizures coma neurological deficits in severe cases,vata|pitta
Yersiniosis,zoonotic diseases,Fever; abdominal pain (often in lower right side); diarrhea (may be bloody); nausea; vomiting; sore throat; rash; joint pain (especially in children),"Bacterial zoonosis (Yersinia enterocolitica, Yersinia pseudotuberculosis)",vata|pitta,fever abdominal pain often in lower right side diarrhea may be bloody nausea vomiting sore throat rash joint pain especially in children,vata|pitta
Zika virus infection,zoonotic diseases,Fever; rash; joint pain; muscle pain; headache; conjunctivitis (red eyes); malaise; fatigue; eye pain; vomiting; in pregnancy can cause microcephaly and other birth defects,Viral zoonosis (Flavivirus),vata|pitta,fever rash joint pain muscle pain headache conjunctivitis red eyes malaise fatigue eye pain vomiting in pregnancy can cause microcephaly and other birth defects,vata|pitta
Babesiosis,zoonotic diseases,Fever; chills; sweating; headache; muscle aches (myalgia); fatigue; malaise; loss of appetite; nausea; vomiting; abdominal pain; joint pain (arthralgia); hepatomegaly; splenomegaly; hemolytic anemia; jaundice; dark urine; thrombocytopenia; leukopenia; nonproductive cough; sore throat; weight loss; depression; emotional lability; photophobia; conjunctivitis; retinopathy; retinal infarcts; hyperesthesia; respiratory distress; heart failure; renal failure; disseminated intravascular coagulation; coma,"Parasitic zoonosis (Babesia species, protozoal infection)",vata|pitta,fever chills sweating headache muscle aches myalgia fatigue malaise loss of appetite nausea vomiting abdominal pain joint pain arthralgia hepatomegaly splenomegaly hemolytic anemia jaundice dark urine thrombocytopenia leukopenia nonproductive cough sore throat weight loss depression emotional lability photophobia conjunctivitis retinopathy retinal infarcts hyperesthesia respiratory distress heart failure renal failure disseminated intravascular coagulation coma,vata|pitta
Blastomycosis,zoonotic diseases,"Fever; chills; cough; chest pain; shortness of breath; muscle aches; joint pain; fatigue; weight loss; night sweats; skin lesions (warts, ulcers, abscesses); bone pain; headache; confusion (if CNS involvement)",Fungal zoonosis (Blastomyces dermatitidis),vata|pitta,fever chills cough chest pain shortness of breath muscle aches joint pain fatigue weight loss night sweats skin lesions warts ulcers abscesses bone pain headache confusion if cns involvement,vata|pitta
Candidiasis (zoonotic forms),zoonotic diseases,White patches in mouth or throat; sore throat; difficulty swallowing; redness; pain; cracks at mouth corners; vaginal itching; burning; discharge; skin rash; nail changes; abdominal pain; diarrhea; fever (if invasive); chills; muscle aches,Fungal zoonosis (Candida species),vata|pitta,white patches in mouth or throat sore throat difficulty swallowing redness pain cracks at mouth corners vaginal itching burning discharge skin rash nail changes abdominal pain diarrhea fever if invasive chills muscle aches,vata|pitta
Cat scratch disease,zoonotic diseases,Swollen lymph nodes (especially near scratch/bite); fever; fatigue; headache; body aches; skin papule or pustule at scratch site; loss of appetite; sore throat; malaise; eye pain (rare); vision changes (rare); confusion (rare); seizures (rare),Bacterial zoonosis (Bartonella henselae),vata|pitta,swollen lymph nodes especially near scratch bite fever fatigue headache body aches skin papule or pustule at scratch site loss of appetite sore throat malaise eye pain rare vision changes rare confusion rare seizures rare,vata|pitta
Chlamydiosis,zoonotic diseases,Fever; chills; headache; muscle aches; joint pain; dry cough; shortness of breath; fatigue; pneumonia; conjunctivitis; sore throat; diarrhea,Bacterial zoonosis (Chlamydia psittaci),vata|pitta,fever chills headache muscle aches joint pain dry cough shortness of breath fatigue pneumonia conjunctivitis sore throat diarrhea,vata|pitta
Clostridial infections,zoonotic diseases,Fever; chills; muscle pain; abdominal pain; diarrhea; vomiting; gas gangrene (pain; swelling; blisters; skin discoloration); food poisoning (nausea; vomiting; diarrhea); tetanus (muscle stiffness; spasms; difficulty swallowing); botulism (weakness; blurred vision; difficulty speaking/swallowing; paralysis),Bacterial zoonosis (Clostridium species),vata|pitta,fever chills muscle pain abdominal pain diarrhea vomiting gas gangrene pain swelling blisters skin discoloration food poisoning nausea vomiting diarrhea tetanus muscle stiffness spasms difficulty swallowing botulism weakness blurred vision difficulty speaking swallowing paralysis,vata|pitta
Cowpox,zoonotic diseases,Red; painful pustules or ulcers (usually on hands; face; or arms); fever; swollen lymph nodes; malaise; headache; muscle aches,Viral zoonosis (Orthopoxvirus),pitta,red painful pustules or ulcers usually on hands face or arms fever swollen lymph nodes malaise headache muscle aches,pitta
Cryptococcus infection,zoonotic diseases,Fever; headache; neck stiffness; nausea; vomiting; confusion; cough; chest pain; shortness of breath; skin lesions; vision changes; seizures (if CNS involvement),"Fungal zoonosis (Cryptococcus neoformans, Cryptococcus gattii)",vata|pitta,fever headache neck stiffness nausea vomiting confusion cough chest pain shortness of breath skin lesions vision changes seizures if cns involvement,vata|pitta
Dermatophytosis,zoonotic diseases,Itchy; red; circular rash; scaling; hair loss (scalp); cracked skin; nail changes (thickening; discoloration); ring-shaped lesions,"Fungal zoonosis (dermatophyte infection: Trichophyton, Microsporum, Epidermophyton)",pitta,itchy red circular rash scaling hair loss scalp cracked skin nail changes thickening discoloration ring shaped lesions,pitta
Erysipeloid,zoonotic diseases,Painful; red; swollen skin lesion (usually on hands); burning; itching; fever; chills; joint pain; lymphangitis; malaise,Bacterial zoonosis (Erysipelothrix rhusiopathiae),pitta,painful red swollen skin lesion usually on hands burning itching fever chills joint pain lymphangitis malaise,pitta
Hantavirus infection,zoonotic diseases,Fever; chills; muscle aches; headache; fatigue; dizziness; nausea; vomiting; diarrhea; abdominal pain; dry cough; shortness of breath; chest tightness; rapid breathing; low blood pressure; irregular heart rate; pulmonary edema; shock; respiratory failure; multi-organ failure; conjunctival injection; retro-ocular pain; thrombocytopenia; hemoconcentration; acute kidney injury; blurred vision; rash (rare); flushing of face; eye redness,"Viral zoonosis (Bunyaviridae family, Hantavirus Pulmonary Syndrome/Hemorrhagic Fever with Renal Syndrome)",vata|pitta,fever chills muscle aches headache fatigue dizziness nausea vomiting diarrhea abdominal pain dry cough shortness of breath chest tightness rapid breathing low blood pressure irregular heart rate pulmonary edema shock respiratory failure multi organ failure conjunctival injection retro ocular pain thrombocytopenia hemoconcentration acute kidney injury blurred vision rash rare flushing of face eye redness,vata|pitta
Hydatid disease,zoonotic diseases,Abdominal pain; nausea; vomiting; hepatomegaly; jaundice; cough; chest pain; shortness of breath; allergic reactions (if cyst ruptures); fever; urticaria; anaphylaxis; weight loss; palpable mass; neurological symptoms (if brain involvement); bone pain (if bone involvement),"Parasitic zoonosis (Echinococcus species, tapeworm infection)",vata|pitta,abdominal pain nausea vomiting hepatomegaly jaundice cough chest pain shortness of breath allergic reactions if cyst ruptures fever urticaria anaphylaxis weight loss palpable mass neurological symptoms if brain involvement bone pain if bone involvement,vata|pitta
Influenza virus (zoonotic serotypes),zoonotic diseases,Fever; chills; cough; sore throat; runny or stuffy nose; muscle aches; headache; fatigue; malaise; shortness of breath; chest pain; conjunctivitis; diarrhea; vomiting; pneumonia; respiratory distress,"Viral zoonosis (Orthomyxoviridae, Influenza A/B/C)",pitta,fever chills cough sore throat runny or stuffy nose muscle aches headache fatigue malaise shortness of breath chest pain conjunctivitis diarrhea vomiting pneumonia respiratory distress,pitta
Leprosy (Hansen's disease zoonotic forms),zoonotic diseases,Skin lesions; numbness; tingling; muscle weakness; thickened nerves; loss of sensation; ulcers on feet; eye problems; nasal congestion; nosebleeds; loss of eyebrows/eyelashes; deformities (late stage),Bacterial zoonosis (Mycobacterium leprae),vata|pitta,skin lesions numbness tingling muscle weakness thickened nerves loss of sensation ulcers on feet eye problems nasal congestion nosebleeds loss of eyebrows eyelashes deformities late stage,vata|pitta
Louping ill,zoonotic diseases,Fever; headache; muscle aches; malaise; ataxia; tremors; seizures; paralysis; drowsiness; confusion; neck stiffness; photophobia; coma (severe cases),Viral zoonosis (Flavivirus),vata|pitta,fever headache muscle aches malaise ataxia tremors seizures paralysis drowsiness confusion neck stiffness photophobia coma severe cases,vata|pitta
Malaria (zoonotic species),zoonotic diseases,Fever; chills; sweats; headache; muscle aches; fatigue; malaise; nausea; vomiting; diarrhea; abdominal pain; anemia; jaundice; cough; rapid breathing; confusion; seizures; coma (severe cases),Parasitic zoonosis (Plasmodium species),vata|pitta,fever chills sweats headache muscle aches fatigue malaise nausea vomiting diarrhea abdominal pain anemia jaundice cough rapid breathing confusion seizures coma severe cases,vata|pitta
Mycobacteriosis,zoonotic diseases,Chronic cough; fever; night sweats; weight loss; fatigue; hemoptysis; chest pain; lymphadenopathy; skin lesions; joint pain; abdominal pain (if disseminated),Bacterial zoonosis (Non-tuberculous mycobacteria),vata|pitta,chronic cough fever night sweats weight loss fatigue hemoptysis chest pain lymphadenopathy skin lesions joint pain abdominal pain if disseminated,vata|pitta
Orf,zoonotic diseases,Painful sores or nodules (usually on hands or forearms); fever; fatigue; swollen lymph nodes; lesions may ulcerate,Viral zoonosis (Poxvirus),pitta,painful sores or nodules usually on hands or forearms fever fatigue swollen lymph nodes lesions may ulcerate,pitta
Parrot fever (Psittacosis),zoonotic diseases,Fever; chills; headache; muscle aches; joint pain; dry cough; shortness of breath; fatigue; pneumonia; conjunctivitis; sore throat; diarrhea,Bacterial zoonosis (Chlamydia psittaci),vata|pitta,fever chills headache muscle aches joint pain dry cough shortness of breath fatigue pneumonia conjunctivitis sore throat diarrhea,vata|pitta
Ringworm,zoonotic diseases,Itchy; red; circular rash; scaling; hair loss (scalp); cracked skin; nail changes (thickening; discoloration); ring-shaped lesions,"Fungal zoonosis (dermatophyte infection: Trichophyton, Microsporum, Epidermophyton)",pitta,itchy red circular rash scaling hair loss scalp cracked skin nail changes thickening discoloration ring shaped lesions,pitta
Salmonella infections from reptiles,zoonotic diseases,Diarrhea; abdominal cramps; fever; nausea; vomiting; headache; muscle pain; chills; blood in stool; dehydration,Bacterial zoonosis (Salmonella species),pitta,diarrhea abdominal cramps fever nausea vomiting headache muscle pain chills blood in stool dehydration,pitta
Simian immunodeficiency virus (zoonotic potential),zoonotic diseases,Fever; weight loss; fatigue; lymphadenopathy; opportunistic infections; immunodeficiency,Viral zoonosis (Retrovirus),vata,fever weight loss fatigue lymphadenopathy opportunistic infections immunodeficiency,vata
Tularaemia,zoonotic diseases,Sudden fever; chills; headache; muscle aches; joint pain; dry cough; sore throat; swollen and painful lymph nodes; skin ulcer at infection site; eye pain and redness (if ocular); chest pain; difficulty breathing; pneumonia; abdominal pain; vomiting; diarrhea,Bacterial zoonosis (Francisella tularensis),vata|pitta,sudden fever chills headache muscle aches joint pain dry cough sore throat swollen and painful lymph nodes skin ulcer at infection site eye pain and redness if ocular chest pain difficulty breathing pneumonia abdominal pain vomiting diarrhea,vata|pitta
Venezuelan equine encephalitis virus,zoonotic diseases,Fever; headache; muscle pain; sore throat; nausea; vomiting; cough; photophobia; confusion; drowsiness; seizures; coma; neurological deficits (in severe cases),Viral zoonosis (Alphavirus),vata|pitta,fever headache muscle pain sore throat nausea vomiting cough photophobia confusion drowsiness seizures coma neurological deficits in severe cases,vata|pitta
West Nile fever,zoonotic diseases,Fever; headache; body aches; joint pain; vomiting; diarrhea; rash; fatigue; weakness; neck stiffness; confusion; tremors; seizures; paralysis; encephalitis; meningitis,Viral zoonosis (Flavivirus),vata|pitta,fever headache body aches joint pain vomiting diarrhea rash fatigue weakness neck stiffness confusion tremors seizures paralysis encephalitis meningitis,vata|pitta
White-nose syndrome,zoonotic diseases,"In bats: white fungal growth on nose/muzzle, wings, ears; abnormal behavior (flying during day, leaving hibernacula early); weight loss; dehydration; death. In humans: not known to cause disease.",Fungal zoonosis (Pseudogymnoascus destructans),vata,in bats white fungal growth on nose muzzle wings ears abnormal behavior flying during day leaving hibernacula early weight loss dehydration death in humans not known to cause disease,vata
Yellow fever,zoonotic diseases,Fever; chills; headache; back pain; muscle aches; nausea; vomiting; fatigue; weakness; jaundice; abdominal pain; bleeding; shock; organ failure,Viral zoonosis (Flavivirus),pitta,fever chills headache back pain muscle aches nausea vomiting fatigue weakness jaundice abdominal pain bleeding shock organ failure,pitta
Yersinia infections,zoonotic diseases,Fever; abdominal pain (often in lower right side); diarrhea (may be bloody); nausea; vomiting; sore throat; rash; joint pain (especially in children),"Bacterial zoonosis (Yersinia enterocolitica, Yersinia pseudotuberculosis)",vata|pitta,fever abdominal pain often in lower right side diarrhea may be bloody nausea vomiting sore throat rash joint pain especially in children,vata|pitta
Zoonotic tuberculosis,zoonotic diseases,Chronic cough; chest pain; fever; night sweats; weight loss; fatigue; loss of appetite; hemoptysis (coughing up blood); swollen lymph nodes; abdominal pain; diarrhea; bone pain (if skeletal involvement),Bacterial zoonosis (Mycobacterium bovis),vata|pitta,chronic cough chest pain fever night sweats weight loss fatigue loss of appetite hemoptysis coughing up blood swollen lymph nodes abdominal pain diarrhea bone pain if skeletal involvement,vata|pitta
Zoonotic scabies,zoonotic diseases,Intense itching; red rash; small blisters or bumps; burrows in skin; secondary infection; crusted scabies (severe cases),Parasitic zoonosis (Sarcoptes scabiei),pitta,intense itching red rash small blisters or bumps burrows in skin secondary infection crusted scabies severe cases,pitta
Zoonotic influenza,zoonotic diseases,Fever; chills; cough; sore throat; runny or stuffy nose; muscle aches; headache; fatigue; malaise; shortness of breath; chest pain; conjunctivitis; diarrhea; vomiting; pneumonia; respiratory distress,"Viral zoonosis (Orthomyxoviridae, Influenza A/B/C)",pitta,fever chills cough sore throat runny or stuffy nose muscle aches headache fatigue malaise shortness of breath chest pain conjunctivitis diarrhea vomiting pneumonia respiratory distress,pitta
Zoonotic meningitis,zoonotic diseases,Fever; headache; stiff neck; nausea; vomiting; photophobia; confusion; drowsiness; seizures; coma; rash (sometimes); joint pain; muscle aches,"Bacterial, viral, or fungal zoonosis (various agents)",vata|pitta,fever headache stiff neck nausea vomiting photophobia confusion drowsiness seizures coma rash sometimes joint pain muscle aches,vata|pitta
Oropouche virus disease,zoonotic diseases,fever; headache; myalgia; arthralgia; photophobia; nausea; meningitis; encephalitis,Arboviral zoonotic infection,vata|pitta,fever headache myalgia arthralgia photophobia nausea meningitis encephalitis,vata|pitta
Buruli ulcer (caused by Mycobacterium ulcerans),zoonotic diseases,painless skin ulcers; necrosis; functional impairment; chronic ulcers; disability,Zoonotic bacterial skin infection,vata|pitta,painless skin ulcers necrosis functional impairment chronic ulcers disability,vata|pitta
Japanese Encephalitis,zoonotic diseases,fever; headache; vomiting; confusion; seizures; encephalitis; neurological deficits; death or permanent disability in severe cases,Mosquito-borne viral encephalitis,vata|pitta,fever headache vomiting confusion seizures encephalitis neurological deficits death or permanent disability in severe cases,vata|pitta
